,FAM1,REL,JEN,MAR,RLI,DE2,DE3,DE7,DE8,DE9
571,0,0,1,2,2,0,1,1,3,1
572,0,0,2,2,0,0,1,1,3,1
573,1,0,1,1,2,0,1,1,3,1
574,1,0,2,1,2,0,1,1,3,1
575,0,0,1,4,2,2,1,1,3,3
576,1,0,1,1,0,1,1,1,2,1
577,1,0,2,4,0,1,1,1,3,4
578,1,0,1,2,0,0,1,1,3,1
579,1,0,2,4,2,1,0,1,2,3
580,1,0,1,4,0,1,1,1,3,3
581,1,0,2,4,0,2,0,1,3,3
582,1,0,2,1,0,0,1,1,2,1
583,1,1,2,4,2,2,0,1,3,4
584,1,0,1,3,2,1,0,1,3,3
585,0,0,1,2,2,0,1,1,3,1
586,1,0,1,1,2,2,1,1,4,3
587,1,0,2,1,2,2,1,1,3,4
588,1,0,1,1,2,0,1,1,3,1
589,1,0,2,1,2,0,1,1,3,1
590,1,0,1,1,2,0,1,1,3,1
591,1,0,2,1,2,0,1,1,3,3
592,0,0,2,4,2,0,1,1,4,3
593,0,0,1,2,2,0,1,1,2,1
594,1,0,2,3,0,1,0,1,3,3
595,1,0,1,1,2,1,1,1,2,1
596,1,0,2,2,0,0,0,1,2,4
597,1,0,1,1,0,1,1,1,2,3
598,1,0,1,2,2,0,1,1,3,4
599,1,0,2,1,2,1,1,1,2,3
600,1,0,1,1,2,0,1,1,3,1
601,1,0,2,1,2,0,1,1,3,1
602,1,0,1,1,0,1,1,1,3,3
603,1,0,2,1,0,1,1,1,3,1
604,1,0,1,1,2,1,1,1,2,3
605,0,0,2,4,0,1,1,1,3,3
606,0,0,2,2,0,0,1,1,3,1
607,1,0,1,1,1,1,1,1,2,1
608,1,0,2,2,1,0,0,1,3,4
609,1,0,2,1,1,1,1,1,3,1
610,1,0,2,2,0,0,0,1,3,4
611,1,0,2,2,0,0,1,1,3,1
612,1,0,2,1,1,1,0,1,3,4
613,1,0,1,1,1,1,0,1,3,1
614,1,0,2,1,2,1,0,1,3,1
615,1,0,2,1,0,1,1,1,3,1
616,1,0,2,2,0,0,0,1,2,4
617,1,0,2,1,0,1,0,1,4,4
618,1,0,2,2,0,0,0,1,2,4
619,1,0,1,2,2,0,0,1,2,1
620,1,0,1,1,0,2,0,1,4,3
621,1,0,1,1,2,2,0,1,4,4
622,1,0,1,1,0,2,0,1,3,3
623,1,0,2,1,0,2,0,1,3,4
624,1,0,1,2,2,0,1,1,4,3
625,1,0,1,2,2,0,1,1,3,4
626,1,1,2,4,2,2,0,1,4,4
