,Q26,Q27,Q28,Q30A1,Q30A4,Q30A5,Q31A1,Q32A1,Q32A3,Q32A4,Q32A5,Q32A6,Q33A1,Q33A3,Q33A4,Q33A7,Q33A8
114,-0.7781937168921504,3.5,4.5,4.5,1.5,1.5,1.0,1.5,3.0,4.5,1.5,1.5,1.5,0.0,4.5,4.5,1.5
115,-0.7781937168921504,3.5,3.0,4.5,4.5,1.5,2.0,3.0,3.0,1.5,1.5,3.0,0.0,1.5,1.5,4.5,0.0
116,-0.7781937168921504,3.5,4.5,4.5,3.0,1.5,1.0,3.0,1.5,3.0,1.5,1.5,0.0,0.0,1.5,1.5,0.0
117,-0.7781937168921504,5.5,3.0,4.5,4.5,4.5,2.0,3.0,4.5,1.5,3.0,3.0,1.5,0.0,0.0,0.0,1.5
118,0.4850026896104595,3.5,3.0,4.5,4.5,3.0,2.0,1.5,1.5,1.5,1.5,1.5,1.5,0.0,0.0,1.5,1.5
119,-0.7781937168921504,3.5,4.5,4.5,3.0,3.0,1.0,1.5,1.5,3.0,3.0,1.5,1.5,0.0,0.0,0.0,0.0
120,-0.7781937168921504,3.5,3.0,3.0,1.5,1.5,1.0,1.5,1.5,3.0,1.5,1.5,1.5,1.5,0.0,1.5,4.5
121,-0.7781937168921504,5.5,1.5,4.5,1.5,4.5,1.0,1.5,3.0,3.0,1.5,1.5,1.5,1.5,1.5,0.0,4.5
122,-0.7781937168921504,5.5,1.5,3.0,1.5,4.5,1.0,3.0,1.5,3.0,1.5,3.0,1.5,1.5,1.5,1.5,0.0
123,-0.7781937168921504,5.5,1.5,1.5,3.0,3.0,1.0,1.5,3.0,1.5,3.0,4.5,1.5,0.0,1.5,1.5,1.5
124,-0.7781937168921504,3.5,3.0,4.5,3.0,4.5,1.0,1.5,1.5,1.5,1.5,3.0,1.5,4.5,0.0,4.5,0.0
125,-0.7781937168921504,3.5,3.0,4.5,1.5,4.5,2.0,3.0,1.5,1.5,1.5,3.0,0.0,0.0,1.5,0.0,1.5
126,0.4850026896104595,3.5,4.5,4.5,4.5,4.5,2.0,3.0,1.5,4.5,1.5,3.0,4.5,0.0,0.0,1.5,1.5
