,Q43,Q44,Q44A,Q45A1,Q45A3,Q47,Q47B,Q47C,Q48,Q49
611,2,3,0,3,3,2,1,2,1,1
612,0,3,0,3,1,0,0,0,0,0
613,2,3,0,3,2,2,1,3,1,1
614,2,3,0,3,3,2,1,3,2,1
615,0,3,0,3,3,2,1,2,1,0
616,2,1,3,3,0,0,0,0,0,1
617,0,3,0,3,3,0,0,0,2,0
618,1,3,0,3,3,0,0,0,1,1
619,1,3,0,3,3,1,1,3,2,2
620,1,3,0,3,0,1,1,2,2,0
621,0,3,0,2,0,0,0,0,0,0
622,0,3,0,3,0,1,1,3,1,0
623,0,3,0,3,1,0,0,0,1,0
624,0,3,0,3,0,1,1,2,2,0
