,Q1,Q2B,Q3,Q6A3,Q6A6,Q6A8,Q6A9,Q6A11,Q8,Q9,Q11,Q12B1,Q12E1,Q12F1,Q13,Q15,Q17A1,Q18,Q20,Q21A,Q24B,Q28,Q32A4,Q34,Q37,Q40,Q41,Q42A,Q43,Q44A,Q45A3,Q47,Q47C,Q48,Q49,FAM1,MAR,DE2,DE3,DE7,DE8,DE9
122,1,6,1,3,3,4,4,3,3,2,3,0,0,1,4,3,1,1,0,0,0,3.0,1.5,80,2,1,3,3,1,0,3,0,0,0,0,1,2,0,1,1,3,4
123,0,6,0,4,4,2,2,4,4,2,3,0,0,0,4,3,0,1,0,1,1,3.0,4.5,70,2,2,3,3,1,0,3,2,2,1,1,1,4,1,0,1,3,3
124,1,4,1,3,4,3,4,2,4,2,3,0,0,0,4,3,0,1,1,0,0,3.0,1.5,70,2,2,3,1,2,0,3,1,2,0,2,1,1,1,0,1,2,3
125,1,4,2,2,3,2,3,3,4,3,4,1,0,1,4,3,1,1,1,1,1,3.0,3.0,80,2,1,1,1,1,0,3,1,3,1,0,1,1,1,1,1,1,1
126,1,4,2,4,3,3,2,3,4,3,3,0,0,1,4,3,1,1,1,1,4,3.0,3.0,88,2,1,3,2,2,0,3,1,3,2,2,1,1,1,1,1,1,3
127,0,6,2,3,2,4,3,2,3,3,3,0,1,1,4,4,1,1,1,1,0,4.5,1.5,80,2,2,1,2,0,0,3,2,3,0,2,1,1,2,1,1,1,3
128,0,4,2,3,3,3,2,3,4,3,3,0,0,1,4,3,1,1,1,0,1,4.5,3.0,70,2,2,2,4,2,0,2,0,0,2,2,1,1,1,1,1,1,4
129,1,4,2,2,3,4,4,2,4,3,4,0,0,0,4,3,1,1,1,0,5,4.5,3.0,95,0,2,1,2,2,0,3,1,3,2,2,1,1,0,1,1,1,1
130,1,6,0,4,3,4,3,2,4,3,4,0,0,1,4,3,0,1,0,1,1,3.0,3.0,88,0,2,3,4,2,3,3,0,0,1,2,1,1,0,0,1,2,4
131,1,6,2,2,3,3,2,3,4,3,4,0,0,1,4,3,1,1,1,0,5,3.0,1.5,85,2,2,3,3,2,0,3,2,3,0,1,1,1,1,0,1,1,1
132,1,4,2,2,4,2,2,4,3,3,3,0,1,0,4,3,0,1,0,1,4,4.5,3.0,80,2,2,3,3,2,0,3,1,3,1,2,1,1,1,1,1,1,1
133,1,6,1,2,3,3,3,3,4,3,3,0,0,1,4,3,1,1,1,1,0,4.5,3.0,95,2,2,3,1,2,0,3,1,3,1,2,1,1,1,1,1,2,1
134,1,4,2,3,3,3,4,2,4,3,4,0,1,0,4,3,0,1,1,0,1,4.5,1.5,88,2,2,1,3,2,0,3,1,3,2,2,1,1,1,1,1,2,1
135,1,6,1,3,2,2,4,3,2,2,2,0,0,0,2,2,1,1,1,0,1,1.5,4.5,10,1,1,3,1,1,2,1,1,3,2,1,1,1,0,0,1,4,3
136,1,6,2,4,2,2,4,3,3,4,4,0,0,0,3,2,1,0,1,0,0,3.0,3.0,100,0,2,1,4,2,0,0,0,0,2,2,1,1,2,1,1,1,4
137,1,6,0,4,2,3,4,4,3,3,3,0,1,1,3,3,1,0,0,0,1,3.0,4.5,90,1,2,2,1,2,3,1,0,0,1,0,1,2,0,0,1,4,4
138,1,3,1,2,4,4,3,4,3,2,4,0,0,1,2,2,1,1,1,0,0,3.0,1.5,80,0,2,1,4,0,0,0,0,0,0,1,1,1,1,1,1,3,4
139,1,4,1,3,2,2,2,4,3,2,4,0,1,1,3,4,1,1,1,1,0,4.5,3.0,90,0,2,1,3,2,0,3,2,3,1,1,1,1,0,1,1,3,1
140,1,3,0,2,2,2,4,4,2,2,3,0,1,1,4,2,0,1,1,1,1,1.5,3.0,85,0,2,3,3,0,0,3,2,3,2,1,1,1,0,1,1,2,1
141,0,6,2,2,4,3,4,4,3,2,4,1,0,1,3,2,0,1,1,1,1,4.5,1.5,68,0,1,2,2,0,0,3,1,3,2,1,1,1,1,1,1,3,3
142,1,6,2,4,3,4,4,4,3,3,3,0,0,1,2,3,1,1,0,0,0,4.5,1.5,95,1,2,3,3,1,0,2,1,3,2,2,1,1,1,1,1,2,1
143,1,4,1,4,4,4,4,2,4,2,4,1,1,1,2,4,1,1,1,0,1,4.5,4.5,70,1,1,3,3,2,0,2,2,2,1,1,1,1,1,1,1,2,1
